Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
304.9671415301123,316.99677718293003,1432.4821725025618,20.92192442122609,121.25449688101031,0
298.6173569882882,314.62316841456385,1485.5481329284482,31.39614989220498,21.350757540680416,0
306.4768853810069,310.29815184960086,1420.7580079000038,35.863944665783556,243.11534750697555,0
315.2302985640803,306.76531611147215,1469.203847036096,58.8768765734019,129.50260784402448,1
297.65846625276663,313.4911165680679,1310.6385333046214,45.56553124533758,153.54656107975285,0
297.6586304305082,311.96742692710876,1521.3293707372939,26.64518430900109,59.15244567687683,0
315.7921281550739,314.47596610013863,1500.1205475362224,44.86036289417637,120.87452127670095,0
307.6743472915291,313.1758590084099,1418.291136893181,24.526960110616344,107.28737298958046,0
295.3052561406505,315.2477635765967,1565.9245668432404,50.826910538870735,18.723960500495934,0
305.4256004358596,307.3238239421972,1593.7570137626558,35.28875348182122,26.540088386866806,1
295.36582307187535,316.5869703281716,1339.2440135631025,39.06363811260829,209.36812990469363,0
295.3427024642974,310.987998023462,1423.7275221433786,53.2579664754219,59.95498805164756,0
302.41962271566035,320.37630436312634,1423.0857650212702,27.1283643141575,48.73956787465764,0
280.86719755342205,306.55406090955216,1406.0096898891136,26.028818148870087,126.22786281253481,0
282.75082167486966,318.67981901582624,1582.947484193175,34.16400673653995,192.18678284062824,0
294.37712470759027,310.98955391731323,1480.6173861227196,50.38378851019317,15.48662964474698,0
289.87168879665575,306.74290998192777,1473.548515868939,24.806539245231576,144.20197990956396,0
303.1424733259527,307.5805708297284,1299.6137635593245,11.67844401889431,29.80261071014334,0
290.9197592447879,308.3982634590284,1563.5418030209225,35.488411415910015,9.115262706404614,0
285.8769629866471,312.12082973200955,1376.0741605146527,45.5174079991092,13.185988040554347,0
314.65648768921557,312.6141774401775,1505.9932630266328,52.00261749738829,208.54102705211034,1
297.74223699513465,307.1314999803071,1527.7376937958193,35.36838637914601,29.493120907015392,0
300.67528204687926,309.87822703869506,1636.0658595838652,35.885733928839976,11.287841103072987,0
285.7525181378654,320.7113517930593,1369.1179600880887,51.53900734255747,109.47497178572807,1
294.55617275474816,318.6377158505036,1198.0487844179174,21.302583003045793,210.9983679855062,0
301.10922589709867,312.18161834837014,1518.3849544753696,36.114792248169906,65.60209412232548,0
288.49006422577696,310.190017390841,1680.0511181510853,41.90423889925058,105.42815438147909,0
303.75698018345673,310.6001566335913,1623.8946352939438,44.49218721285034,9.980633140937806,1
293.99361310081196,313.0675898636521,1520.9659415274625,34.901933068091175,112.26962853371897,0
297.0830625020672,304.886037174008,1450.8363814367954,40.344410117058416,144.4032701592834,0
293.98293387770605,308.7131173128833,1580.712259663731,15.116726465870105,142.7267634380362,0
318.52278184508936,301.65707963061203,1402.645380029553,33.41751587666152,83.10667304359129,0
299.8650277526207,311.9961156130264,1547.6357769356218,44.53508712554468,78.88329516578388,0
289.422890710441,313.2359796985137,1550.5470159166628,30.177059657453206,26.655904734149473,0
308.2254491210319,307.5840676885031,1606.020990749888,40.58984221589597,91.6995801615671,0
287.7915635002898,317.86993381645016,1775.966003891108,44.46872500802698,24.873667218241163,0
302.08863595004755,303.87117168498827,1539.2415967178767,36.57450799142235,191.6489861780129,0
280.4032987612022,302.6781255989509,1449.10363742925,41.70463770996571,241.56857443704646,1
286.7181395110157,311.1222590927999,1497.4425687808005,30.372674347153875,242.5186141666767,1
301.96861235869125,315.23549151306077,1323.0924095110881,37.93388720303953,216.26777484384846,0
307.3846657999541,318.41963845728935,1430.5286868910941,46.10216169589223,150.19803733490477,1
301.71368281189973,307.7055786856553,1459.0717561886895,41.569729609684344,175.21642431096998,0
298.8435171761176,315.39340416715646,1447.5911602065407,34.13468730436065,71.30145067010352,0
296.9889630441071,309.80745765249645,1515.2354872033723,42.24216404290793,157.69260504315517,0
285.21478009632574,309.1368635002959,1417.75800676178,47.14609790636618,113.91238735996936,0
292.8015579160529,314.4182996874334,1612.1030667324471,19.50058721422522,120.50433494423312,1
295.39361229040213,313.2616143920671,1500.0207064918197,51.59074064955898,189.44414009378949,1
310.57122226218917,302.11803921507874,1499.0699678861386,36.63745261318928,70.47958889931292,0
303.4361828956846,317.3827017486295,1467.2105283487083,44.2548993324023,79.50990292362997,0
282.36959844637266,316.90045677073726,1515.519068385898,51.97246923645228,231.16044778215917,1
303.240839693948,306.87218649245233,1582.5098264667636,26.28326302769534,14.05607371274306,0
296.14917719583684,311.97901766718707,1413.28697842891,32.90558997572453,121.4085746033351,1
293.23077999694044,312.4701509314137,1434.1883510924742,37.11451304124295,228.20020010196544,1
306.1167628884087,311.30336882911956,1469.6273971223336,32.16246478875571,152.59075195453926,0
310.3099952249595,307.2484742307729,1365.4129076526785,57.34936575836808,136.60176855303303,1
309.312801191162,306.64188316030976,1418.0742140278503,31.432279061732075,62.4360448073388,0
291.6078247677736,309.87222964504275,1452.377912645534,34.44453220513133,85.81887226611207,0
296.9078762414878,315.8636450962968,1587.4389180712728,42.04389031602977,213.01210395117323,0
303.3126343140356,312.7180007729722,1526.2561329001926,27.978504739239114,139.80453294211455,0
309.7554512712236,308.14692833956946,1519.3589911367544,36.04319288243736,128.68554843919497,0
295.2082576215471,313.8584935532417,1585.0897962167971,43.17453261250175,24.89492838500723,0
298.1434102333618,295.7572868968496,1486.2628211600604,36.67139595617489,4.00703911378078,0
288.9366502599397,315.7438285018605,1539.046484992889,39.06613141100052,240.9212971717623,0
288.03793375919327,301.3014311061095,1489.6778247067505,34.70667887551629,94.24654182171041,0
308.12525822394196,308.18779529298433,1526.536234939963,24.85529690819233,150.80326552487608,0
313.56240028570824,304.4016505268693,1441.7241342388418,43.215932113392384,19.928768296821247,1
299.2798987841967,303.5265926213955,1256.118284172357,57.54933071647241,170.77857143076164,0
310.03532897892023,315.8041339368926,1486.5720837813697,40.18401630783438,233.14167717649022,1
303.61636025047636,307.66149399344056,1642.274813609994,42.25264117247549,143.9163132493549,0
293.5488024539488,311.73251940865356,1592.6215402241592,46.92722755116859,31.528830593852643,0
303.61395605508415,309.76539710560405,1596.5397484591172,27.306695034533007,145.43038186836918,0
315.3803656646597,312.3852041361156,1623.6130721806219,57.025146581296056,191.5868032761631,0
299.6417396089005,310.38410945530126,1508.8657590961438,42.02328796422802,101.60413414350467,0
315.64643655814007,303.58503887905715,1519.7315707405596,56.31856899089109,219.95943698536695,1
273.8025489591026,314.9813340972357,1438.234810456565,32.66967004476011,162.1707383393411,0
308.21902504375225,307.53121708419343,1468.392714397295,58.18061922557825,224.81222957230062,1
300.8704706823817,302.21709050670125,1561.5771149771142,47.75155494034783,155.8763278118343,1
297.00992649534135,307.85942419517045,1620.3884437168817,45.530400858523585,32.82199300120606,1
300.917607765355,317.50379895317155,1486.0553724319,42.34024454353148,77.42292777629729,0
280.12431085399106,314.25110871056745,1454.9810735148587,37.514713819255505,50.44873706311423,0
297.8032811216249,308.2567393279607,1500.0527958856596,52.00531658473872,227.20662442921557,1
303.5711257151175,308.25371147840787,1560.1206748929114,41.40359869848047,190.10001682187067,0
314.77894044741515,308.3918247439131,1355.6145183866458,20.329302964128477,169.09959222750152,0
294.8172978172635,320.3837399178042,1270.3819046862761,28.828135382929975,75.24157990790542,0
291.91506397106815,311.90967726115775,1444.9463150508416,38.14154247807253,46.01119301255338,0
294.98242956415464,312.15020823595535,1377.928757408584,43.09998983165555,189.11277199722795,1
309.15402117702075,315.1514172701592,1449.185980235269,39.43411511100104,118.53948646976991,0
303.28751109659686,311.19394579513255,1485.2219681182528,52.18970789793663,56.447388037657284,1
294.7023979623296,308.70478927089647,1454.6751590976987,20.488981359613753,154.15549454131877,0
305.13267433113356,309.0182507545751,1645.2467534470745,41.435879365051605,10.083463034612993,0
